sonata,rotation,midi_file,motif,occurrences,time_s,memory_mb
1,0,01-1.mid,"[0, 5, 8, 0, 5]",3,0.0029010772705078125,0.0
1,1,01-1.mid,"[1, 6, 9, 1, 6]",0,0.002797842025756836,0.0
1,2,01-1.mid,"[2, 7, 10, 2, 7]",0,0.0027167797088623047,0.0
1,3,01-1.mid,"[3, 8, 11, 3, 8]",0,0.002768993377685547,0.0
1,4,01-1.mid,"[4, 9, 0, 4, 9]",0,0.00273895263671875,0.0
1,5,01-1.mid,"[5, 10, 1, 5, 10]",0,0.0027892589569091797,0.0
1,6,01-1.mid,"[6, 11, 2, 6, 11]",0,0.0026929378509521484,0.0
1,7,01-1.mid,"[7, 0, 3, 7, 0]",2,0.0028426647186279297,0.0
1,8,01-1.mid,"[8, 1, 4, 8, 1]",0,0.0027780532836914062,0.0
1,9,01-1.mid,"[9, 2, 5, 9, 2]",0,0.0026960372924804688,0.0
1,10,01-1.mid,"[10, 3, 6, 10, 3]",0,0.002780914306640625,0.0
1,11,01-1.mid,"[11, 4, 7, 11, 4]",0,0.0027222633361816406,0.0
2,0,02-1.mid,"[9, 4, 4, 2, 1, 11, 9]",5,0.005570173263549805,0.0
2,1,02-1.mid,"[10, 5, 5, 3, 2, 0, 10]",0,0.005350828170776367,0.015625
2,2,02-1.mid,"[11, 6, 6, 4, 3, 1, 11]",0,0.005485057830810547,0.0
2,3,02-1.mid,"[0, 7, 7, 5, 4, 2, 0]",2,0.005389213562011719,0.0
2,4,02-1.mid,"[1, 8, 8, 6, 5, 3, 1]",0,0.005400896072387695,0.0
2,5,02-1.mid,"[2, 9, 9, 7, 6, 4, 2]",0,0.005442142486572266,0.0
2,6,02-1.mid,"[3, 10, 10, 8, 7, 5, 3]",1,0.0053980350494384766,0.0
2,7,02-1.mid,"[4, 11, 11, 9, 8, 6, 4]",0,0.005557060241699219,0.0
2,8,02-1.mid,"[5, 0, 0, 10, 9, 7, 5]",0,0.005368709564208984,0.0
2,9,02-1.mid,"[6, 1, 1, 11, 10, 8, 6]",0,0.005386829376220703,0.0
2,10,02-1.mid,"[7, 2, 2, 0, 11, 9, 7]",0,0.00541996955871582,0.0
2,11,02-1.mid,"[8, 3, 3, 1, 0, 10, 8]",1,0.005439043045043945,0.0
3,0,03-1.mid,"[0, 11, 0, 11, 0, 2, 11]",10,0.009381771087646484,0.03125
3,1,03-1.mid,"[1, 0, 1, 0, 1, 3, 0]",0,0.009057044982910156,0.0
3,2,03-1.mid,"[2, 1, 2, 1, 2, 4, 1]",0,0.009367942810058594,0.0
3,3,03-1.mid,"[3, 2, 3, 2, 3, 5, 2]",0,0.009363174438476562,0.0
3,4,03-1.mid,"[4, 3, 4, 3, 4, 6, 3]",0,0.009170770645141602,0.0
3,5,03-1.mid,"[5, 4, 5, 4, 5, 7, 4]",0,0.009163856506347656,0.0
3,6,03-1.mid,"[6, 5, 6, 5, 6, 8, 5]",0,0.009074926376342773,0.0
3,7,03-1.mid,"[7, 6, 7, 6, 7, 9, 6]",1,0.009364843368530273,0.0
3,8,03-1.mid,"[8, 7, 8, 7, 8, 10, 7]",0,0.009037971496582031,0.0
3,9,03-1.mid,"[9, 8, 9, 8, 9, 11, 8]",0,0.00913691520690918,0.0
3,10,03-1.mid,"[10, 9, 10, 9, 10, 0, 9]",0,0.009037971496582031,0.0
3,11,03-1.mid,"[11, 10, 11, 10, 11, 1, 10]",0,0.00922393798828125,0.0
4,0,04-1.mid,"[3, 2, 5, 3, 2, 5, 3, 2, 5, 3, 2, 0]",5,0.005734920501708984,0.0
4,1,04-1.mid,"[4, 3, 6, 4, 3, 6, 4, 3, 6, 4, 3, 1]",0,0.0054171085357666016,0.0
4,2,04-1.mid,"[5, 4, 7, 5, 4, 7, 5, 4, 7, 5, 4, 2]",0,0.0057811737060546875,0.0
4,3,04-1.mid,"[6, 5, 8, 6, 5, 8, 6, 5, 8, 6, 5, 3]",0,0.005410909652709961,0.0
4,4,04-1.mid,"[7, 6, 9, 7, 6, 9, 7, 6, 9, 7, 6, 4]",0,0.005540132522583008,0.0
4,5,04-1.mid,"[8, 7, 10, 8, 7, 10, 8, 7, 10, 8, 7, 5]",3,0.005568027496337891,0.0
4,6,04-1.mid,"[9, 8, 11, 9, 8, 11, 9, 8, 11, 9, 8, 6]",0,0.005590200424194336,0.0
4,7,04-1.mid,"[10, 9, 0, 10, 9, 0, 10, 9, 0, 10, 9, 7]",0,0.005676984786987305,0.0
4,8,04-1.mid,"[11, 10, 1, 11, 10, 1, 11, 10, 1, 11, 10, 8]",0,0.005413055419921875,0.0
4,9,04-1.mid,"[0, 11, 2, 0, 11, 2, 0, 11, 2, 0, 11, 9]",0,0.005548715591430664,0.0
4,10,04-1.mid,"[1, 0, 3, 1, 0, 3, 1, 0, 3, 1, 0, 10]",0,0.005474090576171875,0.0
